Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI20wt_01_0001_0029-1_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.01716
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
17.6	4732.28
17.62	4876.78
17.64	4605.85
17.66	4497.47
17.68	4678.1
17.7	4352.98
17.72	4407.16
17.74	4641.97
17.76	4226.54
17.78	4732.28
17.8	4822.59
17.82	4678.1
17.84	4641.97
17.86	4334.92
17.88	4660.03
17.9	4352.98
17.92	4696.16
17.94	4461.35
17.96	4750.34
17.98	4551.66
18	4172.36
18.02	5201.9
18.04	4696.16
18.06	4696.16
18.08	5075.46
18.1	4804.53
18.12	4786.47
18.14	5382.52
18.16	4840.66
18.18	5201.9
18.2	5075.46
18.22	4641.97
18.24	5906.32
18.26	6068.88
18.28	4949.03
18.3	5111.59
18.32	5508.95
18.34	5382.52
18.36	5292.21
18.38	5111.59
18.4	5129.65
18.42	4822.59
18.44	5039.34
18.46	5021.28
18.48	4605.85
18.5	4461.35
18.52	5039.34
18.54	5472.83
18.56	5057.4
18.58	5111.59
18.6	5003.21
18.62	5129.65
18.64	5490.89
18.66	5129.65
18.68	4605.85
18.7	5093.53
18.72	5111.59
18.74	4714.22
18.76	5057.4
18.78	4930.97
18.8	5219.96
18.82	4678.1
18.84	6068.88
18.86	5310.27
18.88	4732.28
18.9	4858.72
18.92	4930.97
18.94	5418.64
18.96	5129.65
18.98	5725.7
19	5418.64
19.02	5183.84
19.04	5201.9
19.06	5906.32
19.08	5906.32
19.1	5635.39
19.12	5436.71
19.14	5707.64
19.16	5508.95
19.18	5797.95
19.2	5761.82
19.22	5436.71
19.24	5418.64
19.26	5111.59
19.28	5003.21
19.3	4949.03
19.32	5707.64
