x,y
11.35,28795.7
11.36,28310.3
11.37,29419.8
11.38,29957.2
11.39,29229.1
11.4,29038.4
11.41,29818.6
11.42,29818.6
11.43,29905.2
11.44,29627.9
11.45,28934.4
11.46,30702.7
11.47,29870.6
11.48,29627.9
11.49,29731.9
11.5,28743.7
11.51,28830.4
11.52,29454.5
11.53,29575.8
11.54,30130.6
11.55,30200
11.56,29194.4
11.57,29939.9
11.58,30026.6
11.59,29194.4
11.6,29263.8
11.61,31413.5
11.62,29333.1
11.63,30095.9
11.64,30408
11.65,30685.4
11.66,29246.5
11.67,29801.2
11.68,29038.4
11.69,30512
11.7,28743.7
11.71,30130.6
11.72,29697.2
11.73,28917.1
11.74,31378.8
11.75,29419.8
11.76,29610.5
11.77,30200
11.78,30564
11.79,28587.7
11.8,29679.9
11.81,31049.4
11.82,29471.8
11.83,31378.8
11.84,29506.5
11.85,30338.6
11.86,31066.8
11.87,30702.7
11.88,29905.2
11.89,30304
11.9,30217.3
11.91,29506.5
11.92,29974.6
11.93,29939.9
11.94,29627.9
11.95,29246.5
11.96,31378.8
11.97,30095.9
11.98,30876.1
11.99,29090.4
12,31569.5
12.01,30026.6
12.02,31378.8
12.03,29801.2
12.04,29714.5
12.05,29783.9
12.06,30269.3
12.07,29090.4
12.08,29887.9
12.09,31101.4
12.1,30321.3
12.11,30234.6
12.12,29939.9
12.13,29627.9
12.14,31448.2
12.15,29402.5
12.16,30806.7
12.17,31812.2
12.18,30997.4
12.19,31621.5
12.2,31673.5
12.21,29575.8
12.22,30477.3
12.23,30754.7
12.24,29610.5
12.25,31205.5
12.26,30876.1
12.27,30564
12.28,30789.4
12.29,31621.5
12.3,31656.2
12.31,31066.8
12.32,30460
12.33,30477.3
12.34,31066.8
12.35,30720
12.36,30512
12.37,30962.8
12.38,30477.3
12.39,30650.7
12.4,31066.8
12.41,31916.3
12.42,31170.8
12.43,30113.3
12.44,30529.3
12.45,31465.5
12.46,30789.4
12.47,30529.3
12.48,31898.9
12.49,30650.7
12.5,30616
12.51,31829.6
12.52,31725.6
12.53,31725.6
12.54,30460
12.55,31586.9
12.56,30720
12.57,31257.5
12.58,31153.5
12.59,31205.5
12.6,30252
12.61,30425.3
12.62,30772.1
12.63,31742.9
12.64,31690.9
12.65,32141.6
12.66,31153.5
12.67,30772.1
12.68,31465.5
12.69,32852.4
12.7,32523
12.71,32124.3
12.72,32054.9
12.73,30650.7
12.74,31812.2
12.75,30772.1
12.76,31136.1
12.77,29714.5
12.78,31968.3
12.79,31517.5
12.8,31812.2
12.81,32644.4
12.82,32176.3
12.83,30581.4
12.84,30980.1
12.85,32245.6
12.86,32904.4
12.87,31985.6
12.88,31846.9
12.89,31448.2
12.9,31638.9
12.91,30685.4
12.92,31257.5
12.93,31378.8
12.94,31170.8
12.95,32107
12.96,31292.1
12.97,32002.9
12.98,31864.3
12.99,31898.9
13,31413.5
13.01,29991.9
13.02,32263
13.03,31292.1
13.04,31742.9
13.05,32228.3
13.06,31829.6
13.07,31257.5
13.08,32575
13.09,31812.2
13.1,32089.6
13.11,32488.4
13.12,32263
13.13,32141.6
13.14,32904.4
13.15,31465.5
13.16,32193.6
13.17,32471
13.18,31604.2
13.19,31344.2
13.2,32453.7
13.21,30962.8
13.22,32193.6
13.23,31760.2
13.24,30720
13.25,33147.1
