Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\ベッセル\LiFTFSI_2θ_θ.raw
Goniometer	SmartLab(In-plane)
Attachment	Zステージ単独
Monochromater	None
X	0
Y	0
Z	0.02762
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	2/3deg
受光スリット1	20.000mm
受光スリット2	20.000mm
Cu_K-beta	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Offset	0
13.62	20807.6
13.64	17881.5
13.66	19760
13.68	19741.9
13.7	19127.8
13.72	18297
13.74	19308.4
13.76	18098.3
13.78	19561.3
13.8	18441.5
13.82	19416.8
13.84	19326.5
13.86	18802.7
13.88	20157.4
13.9	18513.7
13.92	19218.1
13.94	18676.3
13.96	18242.8
13.98	19109.8
14	18658.2
14.02	18676.3
14.04	19362.6
14.06	18513.7
14.08	18459.5
14.1	18080.2
14.12	18604
14.14	19398.7
14.16	18242.8
14.18	17791.2
14.2	18622.1
14.22	19904.5
14.24	18477.6
14.26	18351.1
14.28	18838.8
14.3	19796.1
14.32	18459.5
14.34	19344.6
14.36	19380.7
14.38	18098.3
14.4	18622.1
14.42	19272.3
14.44	19489.1
14.46	19019.4
14.48	18062.1
14.5	18856.9
14.52	18965.3
14.54	18965.3
14.56	18766.6
14.58	18242.8
14.6	18152.5
14.62	18640.1
14.64	18062.1
14.66	18585.9
14.68	18911.1
14.7	18947.2
14.72	17719
14.74	19019.4
14.76	17917.7
14.78	18116.3
14.8	18640.1
14.82	18784.6
14.84	18477.6
14.86	19380.7
14.88	18838.8
14.9	19019.4
14.92	18567.9
14.94	19760
14.96	19452.9
14.98	18748.5
15	19218.1
15.02	18893
15.04	20518.6
15.06	20121.2
15.08	20319.9
15.1	20319.9
15.12	20753.4
15.14	20410.2
15.16	19778.1
15.18	18983.3
15.2	19145.9
15.22	18838.8
15.24	18152.5
15.26	18676.3
15.28	17321.6
15.3	17213.2
15.32	17592.5
15.34	17935.7
15.36	19055.6
15.38	17917.7
15.4	18477.6
15.42	17411.9
15.44	17719
15.46	18315
15.48	18080.2
15.5	18297
15.52	17700.9
15.54	17484.2
15.56	16653.3
15.58	17917.7
15.6	18369.2
15.62	17267.4
15.64	18549.8
15.66	18062.1
15.68	18260.8
15.7	17628.7
15.72	17303.5
15.74	18134.4
15.76	18315
15.78	18531.8
15.8	18297
15.82	18224.7
15.84	18242.8
15.86	18712.4
15.88	20428.3
15.9	20356
15.92	19850.3
15.94	19994.8
15.96	20482.5
15.98	21692.6
16	24528.4
16.02	24239.4
16.04	25106.4
16.06	27364.2
16.08	29080.1
16.1	30886.3
16.12	31121.1
16.14	31175.3
16.16	29459.4
16.18	26533.3
16.2	23697.5
16.22	20807.6
16.24	18748.5
16.26	18802.7
16.28	18098.3
16.3	17719
16.32	17393.8
16.34	18260.8
16.36	18297
16.38	16653.3
16.4	17159
16.42	15985
16.44	16906.2
16.46	17466.1
16.48	17177.1
16.5	16942.3
16.52	17177.1
16.54	16436.6
16.56	17249.3
16.58	17556.4
16.6	17050.7
16.62	17411.9
16.64	18477.6
16.66	18170.5
16.68	18116.3
16.7	17538.3
16.72	17068.7
16.74	17556.4
16.76	18676.3
16.78	18242.8
16.8	18116.3
16.82	17249.3
16.84	17863.5
16.86	18585.9
16.88	17466.1
16.9	16888.1
16.92	17249.3
16.94	16346.2
16.96	16779.7
16.98	16942.3
17	16075.3
17.02	16292.1
17.04	17773.2
17.06	16129.5
17.08	16346.2
17.1	17141
17.12	17213.2
17.14	17122.9
17.16	17231.3
17.18	17448
17.2	16508.8
17.22	16870
17.24	16852
17.26	16039.2
17.28	17881.5
17.3	16707.5
17.32	17050.7
17.34	16093.4
17.36	17213.2
17.38	16743.6
17.4	17538.3
17.42	16472.7
17.44	16635.2
17.46	17321.6
17.48	16779.7
17.5	16274
17.52	16075.3
17.54	16779.7
17.56	17104.9
17.58	17104.9
17.6	16599.1
17.62	16888.1
17.64	16689.4
17.66	16364.3
17.68	18008
17.7	17285.5
17.72	17321.6
17.74	17430
17.76	17592.5
17.78	17700.9
17.8	18856.9
17.82	19561.3
17.84	19633.6
17.86	20085.1
17.88	23516.9
17.9	23625.3
17.92	26569.4
17.94	28267.3
17.96	32548
17.98	33559.5
18	36214.6
18.02	37479
18.04	38671.1
18.06	35383.7
18.08	33035.7
18.1	28935.6
18.12	24022.7
18.14	21277.2
18.16	18531.8
18.18	18351.1
18.2	17700.9
18.22	17574.5
18.24	18640.1
18.26	19543.2
18.28	19145.9
18.3	19579.4
18.32	21313.3
18.34	21403.6
18.36	23101.5
18.38	25919.2
18.4	28213.1
18.42	30055.4
18.44	34751.6
18.46	40368.9
18.48	47214.5
18.5	55053.4
18.52	64951.5
18.54	79708.3
18.56	94573.4
18.58	108517
18.6	121558
18.62	142655
18.64	152770
18.66	156075
18.68	141138
18.7	109168
18.72	78425.8
18.74	54457.4
18.76	34769.6
18.78	25052.2
18.8	21746.8
18.82	20356
18.84	18315
18.86	18297
18.88	17375.8
18.9	17773.2
18.92	17682.8
18.94	17122.9
18.96	17375.8
18.98	16833.9
19	16870
19.02	17971.8
19.04	17989.9
19.06	18441.5
19.08	18658.2
19.1	18260.8
19.12	18911.1
19.14	20193.5
19.16	21782.9
19.18	24149.1
19.2	26750
19.22	28881.4
19.24	32475.7
19.26	35781.1
19.28	36792.6
19.3	37063.5
19.32	36539.7
19.34	36846.8
19.36	31861.6
19.38	27490.6
19.4	21963.6
19.42	20590.8
19.44	18260.8
19.46	16093.4
19.48	16093.4
19.5	15298.6
19.52	15298.6
19.54	15840.5
19.56	14449.7
19.58	14738.7
19.6	14449.7
19.62	14666.5
19.64	14612.3
19.66	14251
19.68	14233
19.7	16219.8
19.72	15154.1
19.74	15334.8
19.76	14684.5
19.78	14648.4
19.8	15100
19.82	14919.3
19.84	14377.5
19.86	14052.4
19.88	15298.6
19.9	14901.3
19.92	15154.1
19.94	15298.6
19.96	15063.8
19.98	15840.5
20	16093.4
20.02	16147.6
20.04	17556.4
20.06	18748.5
20.08	17538.3
20.1	19344.6
20.12	18351.1
20.14	18730.4
20.16	18423.4
20.18	16924.2
20.2	16508.8
20.22	16057.2
20.24	14052.4
20.26	14178.8
20.28	13022.8
20.3	13925.9
20.32	14305.2
20.34	14558.1
20.36	13149.2
20.38	14612.3
20.4	13944
20.42	12986.7
20.44	12860.2
20.46	13510.5
20.48	14792.9
20.5	14178.8
20.52	13944
20.54	13402.1
20.56	13546.6
20.58	13582.7
20.6	13366
20.62	13998.2
20.64	13781.4
20.66	13528.5
20.68	14774.8
20.7	14666.5
20.72	14485.8
20.74	13420.2
20.76	14467.8
20.78	13727.2
20.8	13889.8
20.82	14395.5
20.84	16075.3
20.86	14919.3
20.88	16978.4
20.9	16581.1
20.92	18748.5
20.94	20157.4
20.96	23282.1
20.98	25268.9
21	28863.3
21.02	31681
21.04	33974.9
21.06	38075
21.08	38797.5
21.1	39520
21.12	38634.9
21.14	36485.5
21.16	30326.3
21.18	25738.6
21.2	20211.5
21.22	17014.5
21.24	15515.4
21.26	14919.3
21.28	14034.3
21.3	14323.3
21.32	14233
21.34	13564.7
21.36	14160.7
21.38	13058.9
21.4	12733.8
21.42	12697.7
21.44	12679.6
21.46	13492.4
21.48	13600.8
21.5	12715.8
21.52	12788
21.54	13474.4
21.56	12264.2
21.58	12390.6
21.6	13618.9
21.62	13944
21.64	13745.3
21.66	14467.8
21.68	14359.4
21.7	14666.5
21.72	16147.6
21.74	16310.1
21.76	16725.5
21.78	17989.9
21.8	18531.8
21.82	19615.5
21.84	19001.4
21.86	18134.4
21.88	18188.6
21.9	16472.7
21.92	15208.3
21.94	14142.7
21.96	12733.8
21.98	12444.8
22	12607.4
22.02	12083.6
22.04	13528.5
22.06	12769.9
22.08	12372.6
22.1	11866.8
22.12	12625.4
22.14	12408.7
22.16	11848.8
22.18	11523.6
22.2	12751.9
22.22	13564.7
22.24	11993.3
22.26	12444.8
22.28	13275.7
22.3	11866.8
22.32	11668.1
22.34	11704.3
22.36	12733.8
22.38	12517.1
22.4	12517.1
22.42	11794.6
22.44	11957.1
22.46	11451.4
22.48	12173.9
22.5	11975.2
22.52	12390.6
22.54	12860.2
22.56	13058.9
22.58	12589.3
22.6	12336.4
22.62	11866.8
22.64	12806.1
22.66	13040.9
22.68	13871.7
22.7	13600.8
22.72	13727.2
22.74	13673
22.76	13709.2
22.78	13709.2
22.8	13239.6
22.82	13131.2
22.84	14142.7
22.86	12932.5
22.88	12444.8
22.9	12968.6
22.92	13257.6
22.94	12462.9
22.96	13329.9
22.98	11957.1
23	13799.5
23.02	13347.9
23.04	13022.8
23.06	14214.9
23.08	15280.6
23.1	14684.5
23.12	15930.8
23.14	15822.4
23.16	16418.5
23.18	17375.8
23.2	18170.5
23.22	19001.4
23.24	18242.8
23.26	18820.8
23.28	19182
23.3	18008
23.32	17249.3
23.34	17430
23.36	16310.1
23.38	16815.9
23.4	16346.2
23.42	17285.5
23.44	17755.1
23.46	17430
23.48	15154.1
23.5	15894.7
23.52	14720.6
23.54	13167.3
23.56	12210
23.58	13185.4
23.6	12517.1
23.62	11595.9
23.64	11650.1
23.66	11343
23.68	11884.9
23.7	11595.9
23.72	11957.1
23.74	11614
23.76	11577.8
23.78	11595.9
23.8	11451.4
23.82	11126.3
23.84	10783.1
23.86	10873.4
23.88	11921
23.9	12155.8
23.92	11650.1
23.94	11848.8
23.96	12155.8
23.98	11270.8
24	11668.1
24.02	12101.6
24.04	10891.5
24.06	11794.6
24.08	11433.3
24.1	11614
24.12	10981.8
24.14	11270.8
24.16	11632
24.18	11126.3
24.2	11614
24.22	11126.3
24.24	11198.5
24.26	11632
24.28	11487.5
24.3	11017.9
24.32	11830.7
24.34	11361.1
24.36	11632
24.38	11505.6
24.4	11252.7
24.42	11433.3
24.44	11469.5
24.46	11614
24.48	10747
24.5	10927.6
24.52	10710.9
24.54	10494.1
24.56	11921
24.58	11144.3
24.6	11090.2
24.62	11921
24.64	11686.2
24.66	11577.8
24.68	11325
24.7	10927.6
24.72	12065.5
24.74	12264.2
24.76	11325
24.78	10837.3
24.8	11288.8
24.82	12065.5
24.84	11993.3
24.86	12462.9
24.88	12480.9
24.9	12047.5
24.92	12011.3
24.94	12300.3
24.96	11921
24.98	11921
25	12228.1
25.02	12336.4
25.04	12173.9
25.06	12029.4
25.08	12842.2
25.1	12643.5
25.12	11740.4
25.14	12788
25.16	13438.2
25.18	13835.6
25.2	15370.9
25.22	14937.4
25.24	16147.6
25.26	15226.4
25.28	16183.7
25.3	17303.5
25.32	17177.1
25.34	16833.9
25.36	17014.5
25.38	18802.7
25.4	17430
25.42	19814.2
25.44	20030.9
25.46	20193.5
25.48	20301.9
25.5	20229.6
25.52	20572.8
25.54	20771.5
25.56	24709
25.58	27869.9
25.6	32692.5
25.62	37262.2
25.64	44902.5
25.66	50971.4
25.68	60309.5
25.7	67462.1
25.72	74885.7
25.74	80250.1
25.76	80214
25.78	76457.1
25.8	67046.7
25.82	55505
25.84	41253.9
25.86	33902.6
25.88	25160.6
25.9	19145.9
25.92	15786.3
25.94	15370.9
25.96	13817.5
25.98	13329.9
26	12643.5
26.02	11379.2
26.04	11957.1
26.06	12083.6
26.08	12842.2
26.1	12155.8
26.12	12372.6
26.14	12697.7
26.16	12444.8
26.18	12661.6
26.2	13528.5
26.22	13618.9
26.24	16093.4
26.26	15316.7
26.28	16653.3
26.3	18405.3
26.32	18929.1
26.34	21512
26.36	21692.6
26.38	20861.8
26.4	20879.8
26.42	19597.4
26.44	17086.8
26.46	15515.4
26.48	13691.1
26.5	13835.6
26.52	12137.8
26.54	12426.8
26.56	12029.4
26.58	12860.2
26.6	12751.9
26.62	13655
26.64	13040.9
26.66	13817.5
26.68	13420.2
26.7	13727.2
26.72	14305.2
26.74	12824.1
26.76	13293.7
26.78	12318.4
26.8	11686.2
26.82	11614
26.84	11975.2
26.86	11072.1
26.88	11325
26.9	10909.5
26.92	10187.1
26.94	10295.4
26.96	10620.5
26.98	11162.4
27	10566.4
27.02	11415.3
27.04	10494.1
27.06	10223.2
27.08	10692.8
27.1	10277.4
27.12	10150.9
27.14	10187.1
27.16	10728.9
27.18	10801.2
27.2	11469.5
27.22	11415.3
27.24	11126.3
27.26	11577.8
27.28	12426.8
27.3	12788
27.32	12878.3
27.34	13456.3
27.36	13131.2
27.38	15298.6
27.4	17592.5
27.42	19633.6
27.44	21837.1
27.46	26894.5
27.48	30254.1
27.5	34986.4
27.52	38400.1
27.54	40495.3
27.56	43638.1
