Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI_03_0001_0099-4_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.00908
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
24.84	1174.04
24.86	1282.41
24.88	1300.47
24.9	1661.72
24.92	1517.22
24.94	1463.03
24.96	1246.29
24.98	1607.53
25	1174.04
25.02	1535.28
25.04	1643.66
25.06	1589.47
25.08	1697.84
25.1	1174.04
25.12	1715.9
25.14	1408.85
25.16	1752.03
25.18	2131.33
25.2	2041.02
25.22	1806.21
25.24	2041.02
25.26	2113.27
25.28	2221.64
25.3	2510.64
25.32	2673.2
25.34	2926.07
25.36	2962.19
25.38	3070.56
25.4	3504.06
25.42	3738.86
25.44	4334.92
25.46	5003.21
25.48	5183.84
25.5	5870.2
25.52	6195.32
25.54	7008.11
25.56	5436.71
25.58	5274.15
25.6	4389.1
25.62	3630.49
25.64	2564.82
25.66	2564.82
25.68	2004.9
25.7	1643.66
25.72	1643.66
25.74	1571.41
25.76	1661.72
25.78	1499.16
25.8	1228.23
25.82	1354.66
25.84	1228.23
25.86	1481.1
25.88	1589.47
25.9	1408.85
25.92	1444.97
25.94	1408.85
25.96	1119.85
25.98	1589.47
26	1553.34
26.02	1282.41
26.04	1426.91
26.06	1481.1
26.08	1300.47
26.1	1481.1
26.12	1571.41
26.14	1806.21
26.16	1806.21
26.18	2022.96
26.2	2203.58
26.22	2799.63
26.24	3160.88
26.26	2835.76
26.28	2763.51
26.3	2908.01
26.32	2348.08
26.34	2348.08
26.36	2131.33
26.38	1752.03
26.4	1372.72
26.42	1481.1
26.44	1444.97
26.46	1408.85
26.48	1553.34
26.5	1806.21
26.52	1697.84
26.54	1896.53
26.56	2022.96
26.58	1571.41
26.6	1354.66
26.62	1770.09
26.64	1481.1
26.66	1282.41
26.68	1210.16
26.7	1264.35
26.72	1174.04
26.74	1210.16
26.76	975.356
26.78	921.169
26.8	1192.1
26.82	1174.04
26.84	1336.6
26.86	1264.35
26.88	1210.16
26.9	1318.54
26.92	1119.85
26.94	1119.85
26.96	1155.98
26.98	1463.03
27	1065.67
27.02	1336.6
27.04	1192.1
27.06	1318.54
27.08	1300.47
27.1	1174.04
27.12	1354.66
27.14	1029.54
27.16	1155.98
27.18	1192.1
27.2	1444.97
27.22	1372.72
27.24	1372.72
27.26	1408.85
27.28	1499.16
27.3	1517.22
27.32	1517.22
27.34	2330.02
27.36	2293.89
27.38	3359.56
27.4	4226.54
27.42	5201.9
27.44	5346.4
27.46	5310.27
27.48	5219.96
27.5	4371.04
27.52	3829.18
27.54	2366.14
27.56	2727.38
27.58	1842.34
27.6	1589.47
27.62	1372.72
27.64	1282.41
27.66	1336.6
27.68	1390.79
27.7	1155.98
27.72	1408.85
27.74	1336.6
27.76	1499.16
27.78	1499.16
27.8	1517.22
27.82	1426.91
27.84	1499.16
27.86	1463.03
27.88	1444.97
27.9	1192.1
27.92	1318.54
27.94	1065.67
27.96	1119.85
27.98	1300.47
28	1372.72
28.02	1192.1
28.04	1210.16
28.06	1174.04
28.08	1119.85
28.1	1228.23
28.12	903.107
28.14	794.734
28.16	1101.79
28.18	1119.85
28.2	1029.54
28.22	1083.73
28.24	1192.1
28.26	975.356
28.28	1101.79
28.3	848.921
28.32	957.294
28.34	1065.67
28.36	848.921
28.38	1083.73
28.4	1011.48
28.42	722.486
28.44	939.232
28.46	1083.73
28.48	1101.79
28.5	885.045
28.52	1137.92
28.54	1101.79
28.56	1101.79
28.58	1119.85
28.6	921.169
28.62	1155.98
28.64	1354.66
28.66	957.294
28.68	812.797
28.7	1264.35
28.72	1137.92
28.74	740.548
28.76	921.169
28.78	903.107
28.8	939.232
28.82	1228.23
28.84	1011.48
28.86	921.169
28.88	939.232
28.9	1083.73
28.92	903.107
28.94	993.418
28.96	921.169
28.98	1011.48
29	1047.6
29.02	830.859
29.04	1011.48
29.06	1065.67
29.08	1228.23
29.1	1300.47
29.12	794.734
29.14	1047.6
29.16	1011.48
29.18	1065.67
29.2	1083.73
29.22	1065.67
29.24	903.107
29.26	957.294
29.28	885.045
29.3	848.921
29.32	1083.73
29.34	722.486
29.36	1011.48
29.38	1119.85
29.4	957.294
29.42	1065.67
29.44	866.983
29.46	1011.48
29.48	885.045
29.5	975.356
29.52	993.418
29.54	957.294
29.56	758.61
29.58	866.983
29.6	776.672
29.62	866.983
29.64	1065.67
29.66	1083.73
29.68	957.294
29.7	1101.79
29.72	1300.47
29.74	1119.85
29.76	1535.28
29.78	1354.66
29.8	1408.85
29.82	1264.35
29.84	1571.41
29.86	1155.98
29.88	1228.23
29.9	1264.35
29.92	1155.98
29.94	1029.54
29.96	903.107
29.98	939.232
30	632.175
30.02	812.797
30.04	885.045
30.06	1065.67
30.08	1011.48
30.1	812.797
30.12	577.989
30.14	921.169
30.16	921.169
30.18	993.418
30.2	1011.48
30.22	758.61
30.24	794.734
30.26	921.169
30.28	993.418
30.3	885.045
30.32	1011.48
30.34	1047.6
30.36	1246.29
30.38	1246.29
30.4	1571.41
30.42	1426.91
30.44	1499.16
30.46	1463.03
30.48	1372.72
30.5	1354.66
30.52	1119.85
30.54	1083.73
30.56	903.107
30.58	1246.29
30.6	758.61
30.62	830.859
30.64	993.418
30.66	740.548
30.68	866.983
30.7	1174.04
30.72	1029.54
30.74	1083.73
30.76	1029.54
30.78	794.734
30.8	921.169
30.82	1047.6
30.84	939.232
30.86	1137.92
30.88	740.548
30.9	848.921
30.92	848.921
30.94	921.169
30.96	885.045
30.98	794.734
31	1011.48
31.02	993.418
31.04	668.299
31.06	830.859
31.08	1029.54
31.1	1101.79
31.12	830.859
31.14	776.672
31.16	885.045
31.18	758.61
31.2	1192.1
31.22	1065.67
31.24	993.418
31.26	1101.79
31.28	1011.48
31.3	921.169
31.32	939.232
31.34	957.294
31.36	1210.16
31.38	1155.98
31.4	957.294
31.42	1029.54
31.44	1174.04
31.46	1065.67
31.48	921.169
31.5	885.045
31.52	1029.54
31.54	903.107
31.56	1029.54
31.58	939.232
31.6	921.169
31.62	866.983
31.64	650.237
31.66	650.237
31.68	866.983
31.7	776.672
31.72	957.294
31.74	632.175
31.76	1192.1
31.78	957.294
31.8	704.424
31.82	921.169
31.84	866.983
31.86	885.045
31.88	830.859
31.9	776.672
31.92	794.734
31.94	704.424
31.96	758.61
31.98	848.921
32	722.486
32.02	668.299
32.04	758.61
32.06	740.548
32.08	848.921
32.1	668.299
32.12	740.548
32.14	704.424
32.16	1011.48
32.18	794.734
32.2	975.356
32.22	866.983
32.24	957.294
32.26	939.232
32.28	1155.98
32.3	1228.23
32.32	1155.98
32.34	1318.54
32.36	1463.03
32.38	1336.6
32.4	1282.41
32.42	1192.1
