x,y
18.99,28084.9
19,28171.6
19.01,29870.6
19.02,27980.9
19.03,28570.3
19.04,30408
19.05,31084.1
19.06,30373.3
19.07,30685.4
19.08,30200
19.09,30512
19.1,29575.8
19.11,29610.5
19.12,29749.2
19.13,30026.6
19.14,30252
19.15,28726.4
19.16,28206.3
19.17,29419.8
19.18,28136.9
19.19,28032.9
19.2,29246.5
19.21,28622.3
19.22,27616.8
19.23,29073.1
19.24,29125.1
19.25,28951.7
19.26,28171.6
19.27,27460.8
19.28,28726.4
19.29,27374.1
19.3,27460.8
19.31,27980.9
19.32,27894.2
19.33,28414.3
19.34,27876.9
19.35,27374.1
19.36,27894.2
19.37,28206.3
19.38,27027.4
19.39,27686.2
19.4,27772.9
19.41,28414.3
19.42,29003.7
19.43,28674.4
19.44,27270.1
19.45,27460.8
19.46,28327.6
19.47,26819.4
19.48,28362.3
19.49,26680.7
19.5,27651.5
19.51,27114.1
19.52,27339.5
19.53,26143.2
19.54,27183.4
19.55,26386
19.56,26281.9
19.57,27391.5
19.58,25779.2
19.59,26594
19.6,26784.7
19.61,25848.5
19.62,26420.6
19.63,24357.6
19.64,24322.9
19.65,24322.9
19.66,24444.3
19.67,24791
19.68,24444.3
19.69,25103.1
19.7,24721.7
19.71,24912.4
19.72,24357.6
19.73,23872.2
19.74,25120.4
19.75,24912.4
19.76,24617.6
19.77,24288.3
19.78,25640.5
19.79,24583
19.8,24565.6
19.81,24929.7
19.82,25068.4
19.83,24409.6
19.84,23317.4
19.85,23716.2
19.86,24548.3
19.87,24964.4
19.88,24166.9
19.89,23577.5
19.9,23594.8
19.91,24461.6
19.92,22953.4
19.93,24270.9
19.94,24080.2
19.95,23698.8
19.96,24322.9
19.97,24010.9
19.98,24635
19.99,23438.8
20,24010.9
20.01,25051.1
20.02,24756.3
20.03,24479
20.04,23248.1
20.05,23594.8
20.06,23386.8
20.07,23733.5
20.08,24929.7
20.09,24981.7
20.1,24531
20.11,24843
20.12,23369.4
20.13,24270.9
20.14,23144.1
20.15,23074.7
20.16,23300.1
20.17,23716.2
20.18,23594.8
20.19,22519.9
20.2,23421.4
20.21,23456.1
20.22,24201.6
20.23,23508.1
20.24,23577.5
20.25,23126.7
20.26,23872.2
20.27,23768.2
20.28,24895
20.29,22901.3
20.3,22762.7
20.31,23317.4
20.32,24496.3
20.33,23542.8
20.34,23126.7
20.35,23317.4
20.36,23976.2
20.37,23473.4
20.38,24739
20.39,22415.9
20.4,23438.8
20.41,25033.7
20.42,23924.2
20.43,23525.5
20.44,23369.4
20.45,24114.9
20.46,24305.6
20.47,22103.9
20.48,23040
20.49,23750.8
20.5,23542.8
20.51,23213.4
20.52,23837.5
20.53,23802.8
20.54,22780
20.55,23456.1
20.56,23126.7
20.57,23196.1
20.58,22936
20.59,23525.5
20.6,22138.5
20.61,22519.9
20.62,23092
20.63,23352.1
20.64,22277.2
20.65,22277.2
20.66,23421.4
20.67,23629.5
20.68,23456.1
20.69,22519.9
20.7,23560.1
20.71,23022.7
