x,y
15.79,17925.8
15.8,17665.8
15.81,17093.7
15.82,16816.3
15.83,17891.1
15.84,17232.4
15.85,18411.2
15.86,18428.6
15.87,17579.1
15.88,16798.9
15.89,17440.4
15.9,18081.8
15.91,17665.8
15.92,17839.1
15.93,18151.2
15.94,17717.8
15.95,17284.4
15.96,17180.3
15.97,17301.7
15.98,16972.3
15.99,17024.3
16,17631.1
16.01,16729.6
16.02,17631.1
16.03,17267
16.04,16538.9
16.05,17648.4
16.06,17128.3
16.07,16712.3
16.08,17319
16.09,16903
16.1,17111
16.11,17596.4
16.12,17076.3
16.13,17977.8
16.14,16989.6
16.15,17943.1
16.16,17509.7
16.17,17683.1
16.18,16538.9
16.19,16486.9
16.2,16382.9
16.21,16937.6
16.22,18151.2
16.23,17007
16.24,17128.3
16.25,16903
16.26,17873.8
16.27,17145.7
16.28,17007
16.29,17492.4
16.3,17665.8
16.31,17163
16.32,16608.2
16.33,16694.9
16.34,17197.7
16.35,16729.6
16.36,17700.4
16.37,16903
16.38,17180.3
16.39,17561.7
16.4,16694.9
16.41,16642.9
16.42,17180.3
16.43,17197.7
16.44,17249.7
16.45,18133.8
16.46,17821.8
16.47,17197.7
16.48,17700.4
16.49,16868.3
16.5,17215
16.51,17631.1
16.52,17475.1
16.53,17839.1
16.54,18740.6
16.55,17007
16.56,17752.4
16.57,16885.6
16.58,17977.8
16.59,17215
16.6,17059
16.61,17076.3
16.62,18203.2
16.63,18029.8
16.64,17665.8
16.65,17735.1
16.66,17301.7
16.67,17388.4
16.68,18272.5
16.69,18151.2
16.7,18705.9
16.71,17475.1
16.72,18064.5
16.73,18289.9
16.74,17475.1
16.75,18376.6
16.76,18445.9
16.77,18480.6
16.78,18705.9
16.79,18376.6
16.8,19988.8
16.81,18688.6
16.82,19139.4
16.83,19052.7
16.84,18723.3
16.85,18896.6
16.86,19746.1
16.87,19451.4
16.88,19850.1
16.89,21549.1
16.9,22277.2
16.91,21913.2
16.92,22606.6
16.93,23872.2
16.94,24392.3
16.95,25883.2
16.96,24929.7
16.97,27946.2
16.98,28709
16.99,29107.8
17,30373.3
17.01,31586.9
17.02,30945.4
17.03,32384.3
17.04,34898.1
17.05,35574.2
17.06,36701.1
17.07,38746.8
17.08,40445.8
17.09,42820.8
17.1,46392.1
17.11,49270
17.12,51471.7
17.13,54349.5
17.14,56863.3
17.15,61024
17.16,62289.6
17.17,65878.2
17.18,68981.4
17.19,72483.4
17.2,75725.3
17.21,77441.6
17.22,74841.1
17.23,70143
17.24,67386.5
17.25,60261.2
17.26,52823.9
17.27,46877.5
17.28,39249.5
