X	Real	Imaginary
167.00098429244963	-0.00067684314083	-0.00238145379029
166.97166808490957	-0.00066634707335	-0.00235043528342
166.94235187736948	-0.0006483058735	-0.00232576797076
166.91303566982941	-0.00062506807265	-0.00230955950356
166.88371946228932	-0.00059958933688	-0.00230310812125
166.85440325474926	-0.00057515489156	-0.00230672627834
166.82508704720917	-0.00055505157441	-0.00231966050719
166.7957708396691	-0.00054222321656	-0.00234012117931
166.76645463212901	-0.00053894636561	-0.00236542398843
166.73713842458895	-0.00054656253759	-0.00239223252999
166.70782221704886	-0.00056529820896	-0.00241687972748
166.67850600950879	-0.00059419511401	-0.00243573641493
166.6491898019687	-0.00063116201084	-0.00244558925303
166.61987359442864	-0.00067314616555	-0.0024439880937
166.59055738688855	-0.00071640981055	-0.00242952521262
166.56124117934849	-0.00075688521666	-0.00240201530843
166.53192497180839	-0.00079057309032	-0.00236255514833
166.50260876426833	-0.00081394378239	-0.00231345415475
166.47329255672824	-0.0008242998807	-0.00225804072962
166.44397634918818	-0.00082006227941	-0.0022003622297
166.41466014164808	-0.00080094941015	-0.00214480781092
166.38534393410799	-0.00076803016876	-0.00209569162297
166.35602772656793	-0.00072364400955	-0.00205683816947
166.32671151902784	-0.0006711953162	-0.00203121159712
166.29739531148778	-0.00061484203973	-0.00202062626266
166.26807910394768	-0.00055910935784	-0.00202556764447
166.23876289640762	-0.00050846663916	-0.00204514141935
166.20944668886753	-0.00046690953246	-0.00207715552571
166.18013048132747	-0.00043758822295	-0.00211832665917
166.15081427378738	-0.00042251794746	-0.00216459029148
166.12149806624731	-0.00042239931438	-0.00221148322916
166.09218185870722	-0.00043656477707	-0.00225456093071
166.06286565116716	-0.00046305495936	-0.00228980891228
166.03354944362707	-0.00049881574943	-0.00231400880043
166.004233236087	-0.00053999546271	-0.00232502471652
165.97491702854691	-0.00058231206799	-0.00232198408323
165.94560082100685	-0.00062145434512	-0.0023053376973
165.91628461346676	-0.00065347841639	-0.00227679587093
165.88696840592669	-0.0006751624944	-0.00223914938114
165.8576521983866	-0.00068428765261	-0.00219599470397
165.82833599084654	-0.0006798203402	-0.00215139153198
165.79901978330645	-0.00066198234879	-0.00210948612737
165.76970357576639	-0.00063220494555	-0.00207413622082
165.74038736822629	-0.00059297480912	-0.00204857185367
165.71107116068623	-0.00054758919532	-0.00203512204735
165.68175495314614	-0.00049984553066	-0.00203503003869
165.65243874560608	-0.00045369573364	-0.00204837083728
165.62312253806599	-0.0004128976382	-0.00207407497499
165.59380633052592	-0.0003806948865	-0.00211005249889
165.56449012298583	-0.00035955281514	-0.00215340241821
165.53517391544577	-0.00035097167395	-0.0022006857257
165.50585770790568	-0.00035539067984	-0.00224823533596
165.47654150036561	-0.00037218771929	-0.00229247413562
165.44722529282552	-0.00039977080523	-0.00233021287927
165.41790908528546	-0.00043574945224	-0.00235890269933
165.38859287774537	-0.00047716762594	-0.00237682212275
165.3592766702053	-0.00052077534827	-0.00238318513595
165.32996046266521	-0.00056331369765	-0.00237816434375
165.30064425512515	-0.00060178791577	-0.00236283092892
165.27132804758506	-0.00063370550021	-0.00233902026229
165.242011840045	-0.00065726022102	-0.00230913805581
165.2126956325049	-0.0006714485068	-0.00227592643134
165.18337942496481	-0.00067611106133	-0.00224221189874
165.15406321742475	-0.00067189931159	-0.00221065786734
165.12474700988469	-0.00066017277476	-0.00218354299731
165.09543080234459	-0.00064283913666	-0.00216258362902
165.0661145948045	-0.00062215332052	-0.00214881403686
165.03679838726444	-0.00060049477151	-0.00214253276634
165.00748217972435	-0.00058014340372	-0.0021433173165
164.97816597218429	-0.00056307411169	-0.00215010343139
164.94884976464419	-0.00055078753407	-0.00216131975735
164.91953355710413	-0.00054419110036	-0.00217506404381
164.89021734956404	-0.00054353962527	-0.00218930377013
164.86090114202398	-0.00054843925326	-0.00220208231669
164.83158493448389	-0.00055791286284	-0.00221171168683
164.80226872694382	-0.00057051959166	-0.00221693431819
164.77295251940373	-0.00058451639655	-0.00221703955459
164.74363631186367	-0.0005980459152	-0.00221192461932
164.71432010432358	-0.00060933265795	-0.00220209507092
164.68500389678351	-0.00061686892469	-0.00218860529105
164.65568768924342	-0.00061957287499	-0.00217294506733
164.62637148170336	-0.00061690379926	-0.00215688330769
164.59705527416327	-0.00060892362671	-0.00214228390763
164.5677390666232	-0.0005962987182	-0.00213091142153
